"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"minber.ba",7, 6.42631, 1.61438
"fosilihercegovina.blogspot.com",7, 7126.54000, 1790.28133
"zemuzej.ba",7, 1529.43473, 384.21428
"perspektiva.ba",7, 338.37002, 85.00304
"fmon.gov.ba",7, 189.09960, 47.50433
"sm-art.ba",7, 243.26060, 61.11029
"prijedor24h.net",7, 29.33801, 7.37010
"radio-rama.info",7, 43.43920, 10.91250
"bistrobih.ba",7, 17.76056, 4.46169
"rdv.ba",7, 149.22333, 37.48688
"zavidovici.ba",7, 147.97601, 37.17354
"thebosniatimes.ba",6, 120.22778, 30.20281
"bosanskipetrovac.gov.ba",6, 182.20029, 45.77113
"visoko.co.ba",6, 3803.19901, 955.41401
"sscitluk.ba",6, 211.21783, 53.06072
"vipromo.ba",6, 482.48737, 121.20722
"rmubreza.ba",6, 763.75319, 191.86493
"radiokostajnica.com",6, 82.55250, 20.73828
"radiogradacac.ba",6, 56.83724, 14.27827
"aura.ba",6, 292.98442, 73.60157
"stolacx.ba",6, 2969.91915, 746.08306
"handzar.jimdofree.com",6, 201.79702, 50.69409
"quercus.ba",6, 24699.16214, 6204.75698
"panonika.ba",6, 6712.78521, 1686.34064
"travnik.ba",6, 245.50135, 61.67319
"balkannews.ba",6, 1092.69328, 274.49904
"alu.unsa.ba",6, 221.55311, 55.65708
"mvp.gov.ba",6, 61.05121, 15.33687
"eduinfo.ba",6, 351.86791, 88.39388
"nenadvelickovic.ba",6, 141.42891, 35.52882
"turska.ba",6, 1281.61031, 321.95750
"pozivistine.com",6, 30.61192, 7.69012
"life.ba",6, 114.60696, 28.79079
"bihac.org",6, 398.46663, 100.10010
"radiotrebinje.com",6, 89.45184, 22.47149
"istinito.com",6, 23.74487, 5.96503
"free-word.info",6, 26.16591, 6.57322
"gracija.info",6, 17.98518, 4.51812
"cnak.ba",5, 132.26614, 33.22701
"boce.forumcroatian.com",5, 167.04637, 41.96426
"forum.source.ba",5, 21.14257, 5.31129
"visitbihac.com",5, 311.61398, 78.28156
"lovcirs.com",5, 62.00941, 15.57759
"sgbl.banjaluka.rs.ba",5, 10.11756, 2.54166
"zppks.ba",5, 1271.37708, 319.38678
"liberalniforum.com",5, 36.85523, 9.25852
"bosnjackagim.edu.ba",5, 227.26753, 57.09262
"blog.domacin.ba",5, 76.22527, 19.14880
"relax-portal.info",5, 925.09450, 232.39600
"sarajevo-tourism.com",5, 1084.89088, 272.53897
"attivo-kupres.org",5, 2926.54141, 735.18600
"e-zbornik.gf.sum.ba",5, 720.43321, 180.98237
"avioexpress.ba",5, 1628.62353, 409.13182
"sarajevski.ba",5, 70.12045, 17.61519
"seznam.name",5, 52.95319, 13.30254
"poskok.info",5, 34.32232, 8.62222
"business-magazine.ba",5, 14.79898, 3.71770
"udruzenjeplus.ba",5, 759.64307, 190.83241
"freeradioprijedor.com",5, 189.31107, 47.55745
"preporod-brcko.ba",5, 98.93383, 24.85349
"srebrenica.ba",5, 426.24281, 107.07785
"dnevnibuzz.ba",5, 868.23452, 218.11202
"oslobodjenje.ba",5, 83.26810, 20.91805
"konjictourism.ba",5, 1229.97208, 308.98529
"kupuj387.ba",5, 148.67714, 37.34967
"ksc-travnik.net",5, 1017.50463, 255.61065
"iks-portal.info",5, 111.59872, 28.03508
"vladahbz.com",5, 52.32630, 13.14506
"rama-prozor.info",5, 42.57860, 10.69631
"riva-tours.ba",5, 3133.40808, 787.15365
"ghb.ba",5, 117.14916, 29.42942
"miztravnik.com.ba",5, 123.59371, 31.04838
